DateTime,S&P 500 Index,Open-to-Close Return,DateTime,Navigator 1,,,
2020-02-24 00:00:00,33,36,-1,3359999999999999,2020-02-24 00:00:00,,
2020-03-02 00:00:00,34,67999999999999,0,"4,82E+016",2020-03-02 00:00:00,,
2020-03-09 00:00:00,68,826,-1,96,2020-03-09 00:00:00,,
2020-03-16 00:00:00,75,506,-1,428,2020-03-16 00:00:00,,
2020-03-23 00:00:00,50,31833333333333,1,5866666666666667,2020-03-23 00:00:00,,
2020-03-30 00:00:00,29,345999999999997,0,5199999999999999,2020-03-30 00:00:00,,
2020-04-06 00:00:00,28,22,0,"2,225E+016",2020-04-06 00:00:00,,
2020-04-13 00:00:00,18,595999999999997,0,266,2020-04-13 00:00:00,,
2020-04-20 00:00:00,16,358,0,3199999999999994,2020-04-20 00:00:00,,
2020-04-27 00:00:00,16,6325,0,7150000000000001,2020-04-27 00:00:00,,
2020-05-04 00:00:00,12,566,0,"1,4E+016",2020-05-04 00:00:00,,
2020-05-11 00:00:00,20,368000000000002,0,"1,18E+016",2020-05-11 00:00:00,,
2020-05-18 00:00:00,12,535,0,1875,2020-05-18 00:00:00,,
2020-05-25 00:00:00,13,562000000000001,0,"1,76E+016",2020-05-25 00:00:00,,
2020-06-01 00:00:00,10,813999999999998,0,65,2020-06-01 00:00:00,,
2020-06-08 00:00:00,22,742,0,6900000000000002,2020-06-08 00:00:00,,
2020-06-15 00:00:00,17,7625,0,4525,2020-06-15 00:00:00,,
2020-06-22 00:00:00,17,669999999999998,0,"4,12E+016",2020-06-22 00:00:00,,
2020-06-29 00:00:00,12,24,0,5650000000000001,2020-06-29 00:00:00,,
2020-07-06 00:00:00,14,948000000000002,0,"2,82E+016",2020-07-06 00:00:00,,
2020-07-13 00:00:00,13,82500000000001,0,5125,2020-07-13 00:00:00,,
2020-07-20 00:00:00,10,94000000000001,0,5400000000000001,2020-07-20 00:00:00,,
2020-07-27 00:00:00,10,952000000000002,0,"2,32E+016",2020-07-27 00:00:00,,
2020-08-03 00:00:00,8,264,0,"4,16E+016",2020-08-03 00:00:00,,
2020-08-10 00:00:00,8,108,0,3400000000000001,2020-08-10 00:00:00,,
2020-08-17 00:00:00,7,135,0,16,2020-08-17 00:00:00,,
2020-08-24 00:00:00,8,32,0,355,2020-08-24 00:00:00,,
2020-08-31 00:00:00,20,5975,0,585,2020-08-31 00:00:00,,
2020-09-07 00:00:00,17,586,0,458,2020-09-07 00:00:00,,
2020-09-14 00:00:00,15,811999999999998,0,386,2020-09-14 00:00:00,,
2020-09-21 00:00:00,16,304,0,"2,3E+016",2020-09-21 00:00:00,,
